"SOURCE_FIELD_NAME","OSCAL_MODEL","OSCAL_ELEMENT_PATH","MAPPING_TYPE","NOTES","EXECUTION_STATUS","TRANSFORM_ID","RUNTIME_TARGET_PATH","RULE_ID","SOURCE_KEY","ALLOWED_VALUES","VALUE_MAP","OTHER_REMARKS_TEMPLATE","ROLE_ID","ROLE_TITLE","REFERENCE_TYPE","LOOKUP_KEY","DESCRIPTION_REQUIRED","ORIGINAL_ROW_ID","SOURCE_DOCUMENT","SOURCE_LINE","ORIGINAL_EXCEL_ROW","EXECUTION_NOTE"
"INFORMATION_SYSTEM_SECURITY_OFFICER_ISSO","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","Transform","Create a party and link with role-id=""system-security-officer"".","APPROVED","direct","system-security-plan.metadata.responsible-parties[]","ssp:INFORMATION_SYSTEM_SECURITY_OFFICER_ISSO:27","source-one","","","","system-security-officer","Information System Security Officer","","","","11","Mapping/SSP_METADATA.md","28","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"INFORMATION_SYSTEM_SECURITY_ENGINEER_ISSE","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","TBD","Needs analysis.","DEFERRED","","","","source-one","","","","","","","","","12","Mapping/SSP_METADATA.md","29","","Not in accepted executable scope; original Notes and any unresolved path retained."
"INFORMATION_SYSTEM_ADMINISTRATOR_ISA","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","TBD","Needs analysis.","DEFERRED","","","","source-one","","","","","","","","","13","Mapping/SSP_METADATA.md","30","","Not in accepted executable scope; original Notes and any unresolved path retained."
"AUTHORIZING_OFFICIAL_DESIGNATED_REPRESENTATIVE_AODR","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","TBD","Needs analysis.","DEFERRED","","","","source-one","","","","","","","","","14","Mapping/SSP_METADATA.md","31","","Not in accepted executable scope; original Notes and any unresolved path retained."
"PRIVACY_OFFICER_PO","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","Transform","Create a party and link with role-id=""privacy-officer"".","APPROVED","direct","system-security-plan.metadata.responsible-parties[]","ssp:PRIVACY_OFFICER_PO:28","source-one","","","","privacy-officer","Privacy Officer","","","","15","Mapping/SSP_METADATA.md","32","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"SAP_ID","SSP - System Characteristics","system-security-plan.system-characteristics.system-ids[].id","Direct","Validate identifier shape against the target OSCAL version.","APPROVED","direct","system-security-plan.system-characteristics.system-ids[].id","ssp:SAP_ID:23","source-one","","","","","","","","","16","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","11","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"AUTHORIZATION_PACKAGE_NAME","SSP - System Characteristics","system-security-plan.system-characteristics.system-name","Direct","","APPROVED","text","system-security-plan.system-characteristics.system-name","ssp:AUTHORIZATION_PACKAGE_NAME:0","source-one","","","","","","","","","17","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","12","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"ACRONYM","SSP - System Characteristics","system-security-plan.system-characteristics.system-name-short","Direct","","APPROVED","text","system-security-plan.system-characteristics.system-name-short","ssp:ACRONYM:1","source-one","","","","","","","","","18","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","13","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"OPERATIONAL_STATUS","SSP - System Characteristics","system-security-plan.system-characteristics.status.state","Transform","Map to an allowed OSCAL status value.","APPROVED","status-crosswalk","system-security-plan.system-characteristics.status.state","ssp:OPERATIONAL_STATUS:15","source-one","","operational=operational|under-development=under-development|decommissioned=disposition|reauthorize=other","Mapped from Archer operational status: {label}.","","","","","","19","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","14","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"INFORMATION_SYSTEM_TYPE","SSP - System Characteristics","system-security-plan.system-characteristics","Extension Property","Translate the Archer value into a defined system-type property.","APPROVED","archer-select","system-security-plan.system-characteristics.props[]","ssp:INFORMATION_SYSTEM_TYPE:35","source-one","","","","","","","","","20","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","15","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"FISMA_REPORTABLE","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Extension Property","Add a property named fisma-reportable.","APPROVED","archer-select","system-security-plan.system-characteristics.props[]","ssp:FISMA_REPORTABLE:36","source-one","","","","","","","","","21","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","16","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"FINANCIAL_SYSTEM","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Extension Property","Add a property named financial-system.","APPROVED","archer-select","system-security-plan.system-characteristics.props[]","ssp:FINANCIAL_SYSTEM:37","source-one","","","","","","","","","22","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","17","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"MISSION_CRITICAL","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Extension Property","Add a property named mission-critical.","APPROVED","archer-select","system-security-plan.system-characteristics.props[]","ssp:MISSION_CRITICAL:38","source-one","","","","","","","","","23","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","18","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"CRITICAL_INFRASTRUCTURE","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Extension Property","Add a property named critical-infrastructure.","APPROVED","archer-select","system-security-plan.system-characteristics.props[]","ssp:CRITICAL_INFRASTRUCTURE:39","source-one","","","","","","","","","24","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","19","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"MISSION_PURPOSE","SSP - System Characteristics","system-security-plan.system-characteristics.description","Direct","","APPROVED","text","system-security-plan.system-characteristics.description","ssp:MISSION_PURPOSE:2","source-one","","","","","","","","","25","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","20","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"PACKAGE_TYPE","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Extension Property","Define and approve the property name.","APPROVED","archer-select","system-security-plan.system-characteristics.props[]","ssp:PACKAGE_TYPE:40","source-one","","","","","","","","","26","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","21","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"AUTHORIZATION_BOUNDARY_DESCRIPTION","SSP - System Characteristics","system-security-plan.system-characteristics.authorization-boundary.description","Direct","","APPROVED","text","system-security-plan.system-characteristics.authorization-boundary.description","ssp:AUTHORIZATION_BOUNDARY_DESCRIPTION:3","source-one","","","","","","","","","27","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","22","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"AUTHORIZATION_DECISION","SSP - System Characteristics","system-security-plan.system-characteristics.status.state","TBD","Confirm whether Archer values can be represented by the OSCAL status enumeration.","DEFERRED","","","","source-one","","","","","","","","","28","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","23","","Not in accepted executable scope; original Notes and any unresolved path retained."
"HELPER_PTA_CALC","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Calculated","Custom calculated property.","EXCLUDED","","","","source-one","","","","","","","","","29","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","24","","Existing transient-helper exclusion retained; conflicting Notes remain unresolved."
"PACKAGE_TYPE_HELPER_CALC","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Calculated","Transient calculation field; confirm whether it should persist.","EXCLUDED","","","","source-one","","","","","","","","","30","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","25","","Existing transient-helper exclusion retained; conflicting Notes remain unresolved."
"AUTHORIZATION_COMMENTS","SSP - System Characteristics","system-security-plan.system-characteristics.status.remarks","Extension Property","Validate whether native remarks or a property is intended.","APPROVED","text","system-security-plan.system-characteristics.status.remarks","ssp:AUTHORIZATION_COMMENTS:16","source-one","","","","","","","","","31","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","26","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"PIA_REQUIRED","SSP - System Characteristics","system-security-plan.system-characteristics.props[]","Extension Property","Add a property named pia-required.","APPROVED","archer-select","system-security-plan.system-characteristics.props[]","ssp:PIA_REQUIRED:41","source-one","","","","","","","","","32","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","27","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"ATOIATO_DATE","SSP - System Characteristics","system-security-plan.system-characteristics.date-authorized","Transform","Convert timestamp to OSCAL date.","APPROVED","date","system-security-plan.system-characteristics.date-authorized","ssp:ATOIATO_DATE:17","source-one","","","","","","","","","33","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","28","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"RECOMMENDED_CONFIDENTIALITY_CONTROL_CATEGORY","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-confidentiality","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-confidentiality","ssp:RECOMMENDED_CONFIDENTIALITY_CONTROL_CATEGORY:4","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","34","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","34","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"CONFIDENTIALITY_CONTROL_CATEGORY_OVERRIDE","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-confidentiality","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-confidentiality","ssp:CONFIDENTIALITY_CONTROL_CATEGORY_OVERRIDE:5","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","35","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","35","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"RECOMMENDED_INTEGRITY_CONTROL_CATEGORY","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","ssp:RECOMMENDED_INTEGRITY_CONTROL_CATEGORY:6","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","36","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","36","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"INTEGRITY_CONTROL_CATEGORY_OVERRIDE","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","ssp:INTEGRITY_CONTROL_CATEGORY_OVERRIDE:7","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","37","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","37","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"AVAILABILITY_CONTROL_CATEGORY_OVERRIDE","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","ssp:AVAILABILITY_CONTROL_CATEGORY_OVERRIDE:9","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","38","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","38","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"RECOMMENDED_AVAILABILITY_CONTROL_CATEGORY","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","ssp:RECOMMENDED_AVAILABILITY_CONTROL_CATEGORY:8","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","39","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","39","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"SECURITY_CATEGORY","SSP - System Characteristics","system-security-plan.system-characteristics.security-sensitivity-level","Direct","","DEFERRED","","","","source-one","","","","","","","","","40","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","40","","Not in accepted executable scope; original Notes and any unresolved path retained."
"PROGRAMSITE_INTEGRITY_CONTROL_CATEGORY","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","ssp:PROGRAMSITE_INTEGRITY_CONTROL_CATEGORY:10","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","41","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","41","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"PROGRAMSITE_AVAILABILITY_CONTROL_CATEGORY","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","ssp:PROGRAMSITE_AVAILABILITY_CONTROL_CATEGORY:11","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","42","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","42","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"FULL_CONTROL_ASSESSMENT_HELPER","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-confidentiality","Direct/Transform","","DEFERRED","","","","source-one","","","","","","","","","43","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","43","","Not in accepted executable scope; original Notes and any unresolved path retained."
"CNSS_AVAILABILITY_RATING","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-availability","ssp:CNSS_AVAILABILITY_RATING:12","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","44","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","44","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"CNSS_CONFIDENTIALITY_RATING","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-confidentiality","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-confidentiality","ssp:CNSS_CONFIDENTIALITY_RATING:13","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","45","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","45","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"CNSS_INTEGRITY_RATING","SSP - System Characteristics","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","Direct/Transform","","APPROVED","security-objective","system-security-plan.system-characteristics.security-impact-level.security-objective-integrity","ssp:CNSS_INTEGRITY_RATING:14","source-one","Legacy LOE A|Legacy LOE A + DFARS|Legacy LOE B|Legacy LOE B + DFARS|Legacy LOE C|Legacy LOE C + DFARS|Legacy LOE D|Legacy LOE D + DFARS","","","","","","","","46","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","46","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"SUBSYSTEMS","SSP - System Implementation","system-security-plan.system-implementation.components[]","Reference","","APPROVED","direct","system-security-plan.system-implementation.components[]","ssp:SUBSYSTEMS:29","source-one","","","","","","system","","","47","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","56","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"SOFTWARE","SSP - System Implementation","system-security-plan.system-implementation.components[]","Reference","","APPROVED","direct","system-security-plan.system-implementation.components[]","ssp:SOFTWARE:30","source-one","","","","","","software","software","true","48","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","57","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"HARDWARE","SSP - System Implementation","system-security-plan.system-implementation.components[]","Reference","","APPROVED","direct","system-security-plan.system-implementation.components[]","ssp:HARDWARE:31","source-one","","","","","","hardware","","","49","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","58","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"INTERCONNECTIONS","SSP - System Implementation","system-security-plan.system-implementation.components[]","Reference","","APPROVED","direct","system-security-plan.system-implementation.components[]","ssp:INTERCONNECTIONS:32","source-one","","","","","","interconnection","interconnection","","50","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","59","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"INTERCONNECTIONS_CONNECTING_INFORMATION_SYSTEM","SSP - System Implementation","system-security-plan.system-implementation.components[]","Reference","","APPROVED","direct","system-security-plan.system-implementation.components[]","ssp:INTERCONNECTIONS_CONNECTING_INFORMATION_SYSTEM:33","source-one","","","","","","interconnection","interconnection","","51","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","60","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"SAP_INTAKE_FORM_INTERCONNECTIONS","SSP - System Implementation","system-security-plan.system-implementation.components[]","Reference","","APPROVED","direct","system-security-plan.system-implementation.components[]","ssp:SAP_INTAKE_FORM_INTERCONNECTIONS:34","source-one","","","","","","interconnection","","","52","Mapping/SSP_SYSTEM_CHARACTERISTICS.md","61","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"COUNT_OF_CONTROLS","SSP - Control Implementation","Unspecified","Extension Property","Candidate for props[] or calculation from implemented-requirements.","DEFERRED","","","","source-one","","","","","","","","","53","Mapping/SSP_CONTROL_IMPLEMENTATION.md","11","","Not in accepted executable scope; original Notes and any unresolved path retained."
"ALLOCATE_BASELINE_CONTROLS","SSP - Control Implementation","Unspecified","TBD","Requires mapping decision.","DEFERRED","","","","source-one","","","","","","","","","54","Mapping/SSP_CONTROL_IMPLEMENTATION.md","12","","Not in accepted executable scope; original Notes and any unresolved path retained."
"CONTROL_SET_VERSION_NUMBER","SSP - Control Implementation","system-security-plan.system-characteristics.props[]","Extension Property","Add a named property.","DEFERRED","","","","source-one","","","","","","","","","55","Mapping/SSP_CONTROL_IMPLEMENTATION.md","13","","Not in accepted executable scope; original Notes and any unresolved path retained."
"COUNT_OF_CONTROLS_WITHOUT_IMPLEMENTATION_DETAILS","SSP - Control Implementation","Unspecified","Extension Property","Candidate for props[] or calculated value.","DEFERRED","","","","source-one","","","","","","","","","56","Mapping/SSP_CONTROL_IMPLEMENTATION.md","14","","Not in accepted executable scope; original Notes and any unresolved path retained."
"COUNT_OF_CONTROLS_WITH_OPEN_POAMS_ANDOR_RBDS","SSP - Control Implementation","Unspecified","Extension Property","Candidate for props[] or calculated value.","DEFERRED","","","","source-one","","","","","","","","","57","Mapping/SSP_CONTROL_IMPLEMENTATION.md","15","","Not in accepted executable scope; original Notes and any unresolved path retained."
"NUMBER_OF_CONTROLS_BEING_INHERITED_BY_OTHERS","SSP - Control Implementation","Unspecified","Extension Property","Candidate for props[] or calculated value.","DEFERRED","","","","source-one","","","","","","","","","58","Mapping/SSP_CONTROL_IMPLEMENTATION.md","16","","Not in accepted executable scope; original Notes and any unresolved path retained."
"ARCHIVE_CONTROLS","SSP - Control Implementation","Unspecified","Extension Property","Candidate for props[] or calculated value.","DEFERRED","","","","source-one","","","","","","","","","59","Mapping/SSP_CONTROL_IMPLEMENTATION.md","17","","Not in accepted executable scope; original Notes and any unresolved path retained."
"CONTROL_OWNER_CO","SSP - Control Implementation","Unspecified","Extension Property","Candidate for a property or derivation from implemented requirements.","DEFERRED","","","","source-one","","","","","","","","","60","Mapping/SSP_CONTROL_IMPLEMENTATION.md","18","","Not in accepted executable scope; original Notes and any unresolved path retained."
"SECURITY_CONTROL_ASSESSOR_SCA","SSP - Control Implementation","Unspecified","Extension Property","Candidate for a property or related party/role design.","DEFERRED","","","","source-one","","","","","","","","","61","Mapping/SSP_CONTROL_IMPLEMENTATION.md","19","","Not in accepted executable scope; original Notes and any unresolved path retained."
"ADD_ADDITIONAL_CONTROLS","SSP - Control Implementation","","","","DEFERRED","","","","source-one","","","","","","","","","62","Mapping/SSP_CONTROL_IMPLEMENTATION.md","23","","Not in accepted executable scope; original Notes and any unresolved path retained."
"ALLOCATED_CONTROLS","SSP - Control Implementation","","","","DEFERRED","","","","source-one","","","","","","","","","63","Mapping/SSP_CONTROL_IMPLEMENTATION.md","24","","Not in accepted executable scope; original Notes and any unresolved path retained."
"ARCHIVED_CONTROLS","SSP - Control Implementation","","","","DEFERRED","","","","source-one","","","","","","","","","64","Mapping/SSP_CONTROL_IMPLEMENTATION.md","25","","Not in accepted executable scope; original Notes and any unresolved path retained."
"INHERITED_CONTROL_SELECTION","SSP - Control Implementation","","","","DEFERRED","","","","source-one","","","","","","","","","65","Mapping/SSP_CONTROL_IMPLEMENTATION.md","26","","Not in accepted executable scope; original Notes and any unresolved path retained."
"INHERITABLE_CONTROLS","SSP - Control Implementation","","","","DEFERRED","","","","source-one","","","","","","","","","66","Mapping/SSP_CONTROL_IMPLEMENTATION.md","27","","Not in accepted executable scope; original Notes and any unresolved path retained."
"LINK_CNSS_CONTROLS_BY_CONFIDENTIALITY_RATING","SSP - Control Implementation","","","","DEFERRED","","","","source-one","","","","","","","","","67","Mapping/SSP_CONTROL_IMPLEMENTATION.md","28","","Not in accepted executable scope; original Notes and any unresolved path retained."
